Types,BDM%20,BDF%20,BDC%20,BDC%19,BDC%17,RBC%20,RBM%20,RBF%20,NPHS17D,NPHS19D,NPHS20D,Ndkr,Odkr,Fdkr,Rdkr,DSM%20,DSF%20,DSC%20,DSC%19,DSC%17,NPHS17S,NPHS19S,NPHS20S,NSmkr,ExSmkr,OSmkr,DSmkr,PAM%20,PAF%20,PAC%20,PAC%19,PAC%17,NPHS17PA,NPHS19PA,NPHS20PA,NoPA,LOWPA,ModPA,HighPA,DMM%20,DMF%20,DMC%20,DMC%19,DMC%17,NPHS17DM,NPHS19DM,NPHS20DM,HPM%20,HPF%20,HPC%20,HPC%19,HPC%17,NPHS17HP,NPHS19HP,NPHS20PA,CHLM%20,CHLF%20,CHLC%20,CHLC%19,CHLC%17,NPHS17CHL,NPHS19CHL,NPHS20CHL
A18_29,20.0,14.2,17.1,16.6,12.4,s,s,s,,,,,,,,13.8,3.7,8.8,8.4,9.8,,,,,,,,84.9,80.9,82.9,84.4,85.9,,,,,,,,s,s,s,,s,s,,s,10.9,7.8,9.4,,s,s,,9.4,17.9,13.6,15.7,,18.3,18.3,,15.7
A30_39,21.0,8.7,14.5,13.8,10.6,1.8,2.8,s,,,,,,,,15.5,4.8,9.9,11.4,12.6,,,,,,,,77.8,76,76.9,78,80.5,,,,,,,,s,2.4,3.0,,s,s,,3.0,23.7,10.9,17.0,,11.2,11.2,,17.0,34.0,18.7,25.9,,24.5,24.5,,25.9
A40_49,14.1,5.6,9.6,8.8,9.3,2.0,3.4,s,,,,,,,,17.8,3.8,10.6,10.6,14.5,,,,,,,,74.4,75.3,74.9,79.8,78.5,,,,,,,,7.9,4.4,6.0,,7.6,7.6,,6.0,42.2,22.9,32.4,,17.7,17.7,,32.4,46.1,28.2,36.8,,31.7,31.7,,36.8
A50_59,10.1,3.6,6.8,6.9,7.3,3.4,4.5,s,,,,,,,,22.5,4.3,13.4,12.6,11.9,,,,,,,,73.4,78.6,76,79,80.5,,,,,,,,15.9,10.9,13.4,,14.4,14.4,,13.4,53.8,41.2,41.2,,36.2,36.2,,41.2,59.5,53.1,56.3,,52.1,52.1,,56.3
A60_74,8.8,1.1,4.9,5.0,4.0,3.0,5.1,s,,,,,,,,15.7,s,8.0,10.2,10.2,,,,,,,,71.8,72,71.9,79.3,78.6,,,,,,,,23.6,24.6,24.6,,19.9,19.9,,24.6,68.4,67.3,61.9,,60.7,60.7,,61.9,58.6,62.8,60.6,,52.4,52.4,,60.6
A17_74,14.6,6.5,10.5,,,2.2,3.4,s,,,,,,,,17.0,3.4,10.1,,,,,,,,,,76.4,76.5,76.4,,,,,,,,,,10.6,8.4,9.5,,18.9,18.9,,9.5,41.0,30.2,35.5,,24.2,24.2,,35.5,42.8,35.8,39.1,,35.5,35.5,,39.1
Pri,,,,,,,,,4.2,5.4,4.4,,,,,,,,,,17.2,18.3,16.5,,,,,,,,,,82.4,77,72.4,,,,,,,,,,15.2,,22.8,,,,,,41.6,,60.9,,,,,,54.3,,58.9
Sec,,,,,,,,,8.4,7.3,7.5,,,,,,,,,,17.5,16.7,16.4,,,,,,,,,,80.5,80.9,75.1,,,,,,,,,,13.6,,14.5,,,,,,33.6,,45.2,,,,,,38.2,,45.7
PSec,,,,,,,,,10.3,12.5,13.0,,,,,,,,,,6.9,6.1,6,,,,,,,,,,80.7,80.5,77.8,,,,,,,,,,4.3,,4.5,,,,,,14.2,,26.4,,,,,,29.1,,32.6
Chinese,,,,,,,,,9.4,11.5,11.6,,,,,,,,,,9.9,8.8,8.8,,,,,,,,,,80.5,78.8,75.4,,,,,,,,,,6.9,,8.2,,,,,,24.7,,36.1,,,,,,34.1,,39.6
Malay,,,,,,,,,s,2.3,1.7,,,,,,,,,,23.1,23,21.1,,,,,,,,,,83.8,82,75.8,,,,,,,,,,11.6,,14.4,,,,,,23.1,,37.5,,,,,,40.7,,39.2
Indians,,,,,,,,,13.4,10.5,11.4,,,,,,,,,,12.6,10.9,8.9,,,,,,,,,,79.5,86.8,84.4,,,,,,,,,,22.7,,14.2,,,,,,25.1,,29.5,,,,,,40.3,,37.5
Males,,,,,,,,,13.1,14.9,14.6,45.0,39.3,12.3,3.4,,,,,,20.6,18.4,17,63.9,14.1,5.0,17.0,,,,,,81.5,80.2,76.4,0,23.5,40.5,35.9,,,,,,10.3,,10.6,,,,,,27.0,,41.0,,,,,,42.8,,42.8
Females,,,,,,,,,4.7,5.7,6.5,61.2,32.3,5.5,1.0,,,,,,3.3,3.2,3.4,92.9,2.5,1.2,3.4,,,,,,80.3,80,76.5,0,23.6,45.9,30.6,,,,,,7.4,,8.4,,,,,,21.7,,30.2,,,,,,28.5,,35.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
